Имя,dN (m),dE (m),dHt (m),СКО в плане (m),СКО по высоте (m)
blagodarovka-rp1,-2439.996,-7103.694,-3.394,0.008,0.004
kort-syza-rp1,313.061,2024.181,-30.131,0.002,0.001
TatChelny-rp1,-68823.032,37153.333,-17.534,0.003,0.004
Anan-rp1,-58289.706,41371.846,73.969,0.007,0.001
ilbuhtino-rp1,-64164.456,11519.961,-32.233,0.006,0.003
blagodarovka-rp2,-2458.255,-7119.316,-3.785,0.006,0.005
kort-syza-rp2,294.803,2008.562,-30.525,0.003,0.005
TatChelny-rp2,-68841.292,37137.709,-17.921,0.003,0.001
Anan-rp2,-58307.959,41356.231,73.578,0.002,0.002
ilbuhtino-rp2,-64182.706,11504.341,-32.615,0.004,0.005
